offer_id,offer_type,reward,difficulty,duration,channel_combination,received_count,viewed_count,completed_after_view_count,completed_without_prior_view_count,view_rate,completion_after_view_rate
0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,5,20,10,"web, email",5133,1802,976,1459,0.35106175725696476,0.5416204217536071
2298d6c36e964ae4a3e7e9706d1fb8c2,discount,3,7,7,"web, email, mobile, social",6332,6037,3684,605,0.9534112444725206,0.6102368726188504
2906b810c7d4411798c6938adc9daaa5,discount,2,10,7,"web, email, mobile",6411,3394,1809,1568,0.5294025892996412,0.5329994107248085
3f207df678b143eea3cee63160fa8bed,informational,0,0,4,"web, email, mobile",7617,3798,0,0,0.4986215045293423,
4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,10,10,5,"web, email, mobile, social",7593,7235,2769,562,0.9528513104174898,0.3827228749136144
5a8bc65990b245e5a138643cd4eb9837,informational,0,0,3,"email, mobile, social",7618,6149,0,0,0.8071672354948806,
9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,5,5,7,"web, email, mobile",6351,3392,1780,1839,0.5340891198236498,0.5247641509433962
ae264e3637204a6fb9bb56bc8210ddfd,bogo,10,10,7,"email, mobile, social",6382,5533,2225,842,0.8669696020056409,0.4021326585938912
f19421c1d4aa40978ebb69ca19b0e20d,bogo,5,5,5,"web, email, mobile, social",7571,7208,3543,753,0.9520538898428212,0.4915371809100999
fafdcd668e3743c1bb461111dcafc2a4,discount,2,10,10,"web, email, mobile, social",5033,4869,3222,403,0.9674150606000398,0.6617375231053605
